Provider/Channel,Sattelite_Name,freq_alt,encryption_alt
Radio Free Asia,Intelsat-19,4060 H,
VoA Tibetan,Intelsat-19,4060 H,
VoA Madagascar,Intelsat-19,4060 H,
VoA Mongolia,Intelsat-19,4060 H,
Angel 5,Intelsat-19,4060 H,
Palau FM,Intelsat-19,4060 H,
VoA Djibouti FM,Intelsat-19,4060 H,
Deewa Radio,Intelsat-19,4060 H,
Deewa Radio,Intelsat-19,4060 H,
Radio Farda,Intelsat-19,4060 H,
Radio Free Ashna,Intelsat-19,4060 H,
Discovery Channel Japan,Intelsat-19,4080 V,PowerVu
Animal Planet Japan,Intelsat-19,4080 V,PowerVu
Asian Food Network,Intelsat-19,4080 V,PowerVu
Food Network Asia,Intelsat-19,4080 V,PowerVu
Travel Channel Asia,Intelsat-19,4080 V,PowerVu
HGTV Asia,Intelsat-19,4080 V,PowerVu
Investigation Discovery New Zealand,Intelsat-19,4080 V,PowerVu
KBS World,Intelsat-19,4128 V,Xcrypt
YTN World,Intelsat-19,4133 V,
NHK World Japan,Intelsat-19,4146 H,
NHK World Premium,Intelsat-19,4146 H,Conax
NHK World Japan Radio,Intelsat-19,4146 H,
NHK World Japan Radio,Intelsat-19,4146 H,
NHK World Japan Radio,Intelsat-19,4146 H,
RNZ Pacific,Intelsat-19,4146 V,
531 Pi,Intelsat-19,4146 V,
BBC World Service English Americas,Intelsat-19,4161 V,
BBC World Service English East Asia,Intelsat-19,4161 V,
BBC World Service English South Asia,Intelsat-19,4161 V,
BBC World Service English Australasia,Intelsat-19,4161 V,
BBC World Service English News,Intelsat-19,4161 V,
BBC World Service English News,Intelsat-19,4161 V,
BBC World Service English News,Intelsat-19,4161 V,
BBC World Service Arabic,Intelsat-19,4161 V,
Arirang World,Intelsat-19,4174 V,
(A2Z Channel 11 feeds),Intelsat-19,4180 H,PowerVu
(A2Z Channel 11 feeds),Intelsat-19,4180 H,PowerVu
ANC Global,Intelsat-19,4180 H,PowerVu
TFC Asia-Pacific,Intelsat-19,4180 H,PowerVu
Cinema One Global,Intelsat-19,4180 H,PowerVu
Myx USA,Intelsat-19,4180 H,PowerVu
Cine Mo! Global,Intelsat-19,4180 H,PowerVu
MOR Philippines,Intelsat-19,4180 H,PowerVu
MOR Philippines,Intelsat-19,4180 H,PowerVu
DWPM Radyo 630,Intelsat-19,4180 H,PowerVu
(TVNZ feeds),Intelsat-19,12432 H,
(Channel Nine feeds),Intelsat-19,12550 V,
Channel Nine Melbourne,Intelsat-19,12569 V,
