Freq/beam,SR/FEC,SID,Provider/Channel,undef,Compression,VPID,Audio,Encryption,Src_Updated,Provider_URL,Provider,Frequency,Beam,EIRP
3867 Htp 7AAsia & Australia & Pacific0,DVB-S28PSK37503/4,,Solar Entertainment,,,,7.9,PowerVu,Albert I240303,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,Solar Entertainment,3835 H,tp 6A,Asia & Australia & Pacific0
3867 Htp 7AAsia & Australia & Pacific0,DVB-S28PSK37503/4,,Solar Entertainment,,,,7.9,PowerVu,Albert I240303,https://www.lyngsat.com/providers/ph/Solar-Entertainment.html,Solar Entertainment,3867 H,tp 7A,Asia & Australia & Pacific0
112,GMA TV,,MPEG-4/1seg,3187,3189 Tgl,PowerVu,,,,,,3867 H,tp 7A,Asia & Australia & Pacific0
2880,TV 5 (Philippines),,MPEG-4/1seg,2882,2883 Tgl,,,,,,,3867 H,tp 7A,Asia & Australia & Pacific0
3856 Htp 6AAsia & Australia & Pacific0,DVB-S28PSK25002/3,1,IBC 13,,?-?MPEG-4/SD,210,6.6 100 Tgl,,C Sutton190204,,,3867 H,tp 7A,Asia & Australia & Pacific0
3872 Htp 7AAsia & Australia & Pacific0,DVB-S28PSK37505/6,,Zoe Broadcasting Network,,,,9.4,,Albert I230112,https://www.lyngsat.com/providers/ph/Zoe-Broadcasting-Network.html,Zoe Broadcasting Network,3872 H,tp 7A,Asia & Australia & Pacific0
3876 Htp 7AAsia & Australia & Pacific0,DVB-S28PSK37503/4,,Viva Entertainment,,,,7.9,PowerVu,Albert I230112,https://www.lyngsat.com/providers/ph/Viva-Entertainment.html,Viva Entertainment,3876 H,tp 7A,Asia & Australia & Pacific0
3897 Htp 7AAsia & Australia & Pacific0,DVB-S28PSK31403/4,64,AllTV,,2-2MPEG-4/HD,101,7.9 102 Tgl,,Albert I230920,,,3876 H,tp 7A,Asia & Australia & Pacific0
3930 Vtp 8BAsia & Australia & Pacific0,DVB-S28PSK35005/6,,People's TV,,2-2,,9.4,,C SuttonAlbert I240304,https://www.lyngsat.com/providers/ph/Peoples-TV.html,People's TV,3930 V,tp 8B,Asia & Australia & Pacific0
3946 Vtp 8BAsia & Australia & Pacific0,DVB-S28PSK176003/4,,SpeedCast,,,,7.9,ABV,Albert I230703,https://www.lyngsat.com/providers/hk/SpeedCast.html,SpeedCast,3946 V,tp 8B,Asia & Australia & Pacific0
4056 Htp 11AAsia & Australia & Pacific0,DVB-S2561/2,1,Radio Maria Philippines,,?-?,,2.7 768 Tgl,,C Sutton200818,,,3946 V,tp 8B,Asia & Australia & Pacific0
4081 Htp 12AAsia & Australia & Pacific0,DVB-S28PSK100003/5,,TV 5 Network,,,,5.5,,Albert I240303,https://www.lyngsat.com/providers/ph/TV-5-Network.html,TV 5 Network,4081 H,tp 12A,Asia & Australia & Pacific0
4095 Htp 12AAsia & Australia & Pacific0,DVB-S28PSK50003/4,9,RPTV,,?-?MPEG-4/HD,110,7.9 111 Tgl,PowerVu,Albert I240201,,,4081 H,tp 12A,Asia & Australia & Pacific0
12294 VChina0,DVB-S28PSK450003/4,,D-Sky,,?-6,,7.9,Viaccess,Caribbean kelp210505,,,4081 H,tp 12A,Asia & Australia & Pacific0
12416 Vtp 3BChina0,DVB-S28PSK450003/4,,D-Sky,,1-4,,7.9,Topreal,RoseTV240203,,,4081 H,tp 12A,Asia & Australia & Pacific0
12660 Vtp 7BChina0,DVB-S28PSK450003/4,,D-Sky,,1-10,,7.9,ToprealViaccess,Caribbean kelp210505,,,4081 H,tp 12A,Asia & Australia & Pacific0
12477 HMongolia0,DVB-S28PSK450002/3,,Mongolsat,,,,6.6,TongfangVerimatrix,T Kameda211029,,,4081 H,tp 12A,Asia & Australia & Pacific0
12598 HMongolia0,DVB-S28PSK450002/3,,Mongolsat,,,,6.6,Tongfang,T Viererbe240102,,,4081 H,tp 12A,Asia & Australia & Pacific0
12721 Vtp 8BChina0,DVB-S28PSK432002/3,,Great Wall,,,,6.6,,Crazylee231120,https://www.lyngsat.com/providers/cn/Great-Wall.html,Great Wall,12721 V,tp 8B,China0
12739 Htp 8AChina0,DVB-S28PSK96002/3,,APT,,1337-8,,6.6,,Ggoonngg 88230312,https://www.lyngsat.com/providers/hk/APT.html,APT,12739 H,tp 8A,China0
